,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,0.767,0.001,0.021,0.019,0.002,0.002,0.171,0.0,0.017,0.0
Trouser,0.0,0.977,0.0,0.016,0.002,0.0,0.003,0.0,0.002,0.0
Pullover,0.012,0.001,0.884,0.007,0.046,0.0,0.048,0.0,0.002,0.0
Dress,0.026,0.009,0.012,0.886,0.031,0.0,0.033,0.0,0.003,0.0
Coat,0.0,0.002,0.116,0.031,0.785,0.0,0.062,0.0,0.004,0.0
Sandal,0.0,0.0,0.0,0.001,0.0,0.974,0.0,0.014,0.001,0.01
Shirt,0.094,0.002,0.101,0.023,0.064,0.0,0.696,0.001,0.019,0.0
Sneaker,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.949,0.001,0.023
Bag,0.002,0.002,0.005,0.001,0.001,0.001,0.001,0.003,0.984,0.0
Ankle boot,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.038,0.002,0.953
