train_acc,val_acc,test_acc
82.81,86.38,86.20
87.85,88.95,88.33
89.17,88.25,87.31
90.08,88.98,88.34
90.92,90.16,89.37
91.44,90.04,89.54
91.97,89.25,88.86
92.42,90.42,90.24
92.88,90.48,90.14
93.19,89.92,89.68
