,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,0.869,0.0,0.012,0.018,0.003,0.002,0.091,0.001,0.004,0.0
Trouser,0.0,0.984,0.0,0.009,0.004,0.0,0.001,0.0,0.002,0.0
Pullover,0.019,0.0,0.826,0.007,0.083,0.0,0.061,0.0,0.004,0.0
Dress,0.018,0.011,0.006,0.901,0.033,0.0,0.027,0.0,0.004,0.0
Coat,0.002,0.0,0.04,0.026,0.868,0.0,0.06,0.0,0.004,0.0
Sandal,0.0,0.0,0.0,0.0,0.0,0.972,0.0,0.021,0.001,0.006
Shirt,0.136,0.002,0.056,0.02,0.077,0.0,0.692,0.0,0.017,0.0
Sneaker,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.965,0.002,0.018
Bag,0.001,0.001,0.001,0.002,0.007,0.004,0.002,0.004,0.978,0.0
Ankle boot,0.0,0.0,0.0,0.0,0.0,0.011,0.001,0.053,0.001,0.934
