train_loss,val_loss,test_loss
1390.48,279.25,239.47
987.34,223.14,202.03
871.78,248.70,221.45
796.26,231.70,200.78
732.72,204.60,181.88
682.66,203.92,181.40
639.58,212.76,187.34
603.15,211.17,179.75
565.08,204.84,183.76
528.43,218.62,191.48
