,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.719,0.012,0.058,0.013,0.012,0.009,0.015,0.018,0.101,0.043
automobile,0.015,0.796,0.005,0.008,0.003,0.009,0.007,0.003,0.047,0.107
bird,0.056,0.008,0.58,0.046,0.069,0.068,0.097,0.039,0.022,0.015
cat,0.041,0.011,0.062,0.394,0.057,0.197,0.133,0.051,0.033,0.021
deer,0.028,0.005,0.09,0.063,0.527,0.042,0.106,0.113,0.018,0.008
dog,0.019,0.005,0.048,0.109,0.049,0.62,0.058,0.061,0.016,0.015
frog,0.01,0.004,0.032,0.031,0.019,0.018,0.854,0.008,0.017,0.007
horse,0.013,0.004,0.037,0.03,0.034,0.052,0.011,0.788,0.006,0.025
ship,0.041,0.016,0.012,0.003,0.005,0.003,0.008,0.002,0.872,0.038
truck,0.039,0.059,0.006,0.009,0.002,0.006,0.007,0.01,0.037,0.825
