,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.847,0.003,0.015,0.023,0.014,0.001,0.004,0.004,0.074,0.015
automobile,0.004,0.899,0.0,0.004,0.001,0.002,0.003,0.001,0.038,0.048
bird,0.052,0.0,0.724,0.076,0.061,0.032,0.031,0.011,0.012,0.001
cat,0.011,0.002,0.034,0.827,0.024,0.048,0.028,0.008,0.017,0.001
deer,0.012,0.001,0.038,0.077,0.809,0.018,0.019,0.021,0.005,0.0
dog,0.004,0.002,0.027,0.228,0.019,0.694,0.012,0.011,0.002,0.001
frog,0.009,0.001,0.022,0.062,0.02,0.007,0.856,0.003,0.02,0.0
horse,0.008,0.0,0.014,0.058,0.035,0.023,0.004,0.849,0.006,0.003
ship,0.02,0.003,0.0,0.007,0.0,0.0,0.005,0.0,0.952,0.013
truck,0.006,0.02,0.001,0.013,0.003,0.0,0.009,0.004,0.028,0.916
