epoch,train_acc,val_acc,test_acc
1,17.08,19.41,20.63
2,17.50,20.87,20.67
3,18.27,21.07,21.44
4,18.89,22.71,22.66
5,20.41,23.18,22.98
6,20.29,24.14,24.09
7,20.86,18.25,18.71
8,20.28,18.06,17.86
9,18.78,21.90,22.27
10,20.95,23.74,23.73
11,22.00,27.79,27.47
12,21.69,24.80,25.10
13,22.73,22.65,22.24
14,21.75,24.20,24.11
15,22.80,21.64,20.98
