,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,852,3,0,0,0,0,108,5,30,2
automobile,479,56,0,0,0,0,40,2,254,169
bird,197,0,0,0,0,0,792,5,0,6
cat,157,0,0,0,0,0,838,3,1,1
deer,110,0,0,0,0,0,883,6,0,1
dog,127,0,0,0,0,0,863,5,0,5
frog,79,0,0,0,0,0,913,5,0,3
horse,161,0,0,0,0,0,823,11,1,4
ship,830,7,0,0,0,0,54,1,101,7
truck,537,40,0,0,0,0,99,4,155,165
