epoch,train_loss,val_loss,test_loss
1,1.65,1.20,1.21
2,1.04,1.04,1.05
3,0.84,0.78,0.77
4,0.73,0.73,0.73
5,0.64,0.66,0.67
6,0.57,0.59,0.59
7,0.51,0.69,0.70
8,0.45,0.60,0.62
9,0.40,0.55,0.55
10,0.36,0.53,0.55
11,0.32,0.52,0.54
12,0.29,0.50,0.52
13,0.25,0.56,0.57
14,0.23,0.59,0.60
15,0.20,0.65,0.64
16,0.18,0.62,0.65
17,0.16,0.55,0.57
18,0.15,0.74,0.77
19,0.14,0.63,0.65
20,0.13,0.68,0.70
21,0.11,0.66,0.71
22,0.11,0.64,0.67
23,0.10,0.75,0.77
24,0.09,0.64,0.70
25,0.08,0.83,0.89
