epoch,train_acc,val_acc,test_acc
1,12.55,9.38,10.02
2,10.53,10.19,10.05
3,9.81,9.85,10.00
4,10.27,9.68,10.00
5,10.04,9.38,10.00
6,9.89,9.38,10.00
7,9.96,9.68,10.00
8,10.00,9.85,10.00
9,9.82,9.97,10.00
10,10.00,9.97,10.00
