,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.799,0.001,0.031,0.034,0.031,0.008,0.015,0.024,0.036,0.021
automobile,0.001,0.81,0.003,0.013,0.006,0.007,0.017,0.001,0.027,0.115
bird,0.029,0.0,0.621,0.092,0.092,0.076,0.053,0.03,0.002,0.005
cat,0.006,0.0,0.015,0.715,0.051,0.112,0.05,0.035,0.004,0.012
deer,0.003,0.001,0.018,0.056,0.828,0.032,0.017,0.039,0.004,0.002
dog,0.003,0.0,0.011,0.138,0.03,0.776,0.011,0.027,0.0,0.004
frog,0.005,0.001,0.005,0.053,0.025,0.022,0.872,0.005,0.007,0.005
horse,0.003,0.0,0.005,0.028,0.031,0.032,0.009,0.881,0.0,0.011
ship,0.036,0.005,0.01,0.019,0.006,0.004,0.013,0.007,0.881,0.019
truck,0.01,0.015,0.001,0.019,0.004,0.002,0.005,0.007,0.012,0.925
