epoch,train_acc,val_acc,test_acc
1,15.39,15.48,15.41
2,19.11,20.35,20.13
3,20.50,23.37,24.04
4,21.53,27.31,26.52
5,22.37,28.13,28.40
6,23.12,28.73,28.22
7,23.98,24.39,23.84
8,24.03,27.35,26.44
9,24.86,30.39,29.78
10,26.19,30.85,30.45
11,28.40,32.59,31.91
12,30.34,36.63,36.55
13,34.23,37.79,37.66
14,44.64,55.49,55.26
15,58.63,60.08,59.59
16,64.99,59.64,60.21
17,69.75,69.17,69.98
18,72.68,73.72,73.51
19,74.81,74.35,74.58
20,77.06,71.55,71.39
21,78.35,76.76,77.17
22,80.16,76.10,76.22
23,81.44,77.06,77.42
24,82.83,77.71,77.17
25,83.80,77.26,76.86
26,84.90,78.94,78.65
27,85.91,78.95,78.43
28,86.88,78.19,77.97
29,87.59,78.53,77.65
30,88.41,77.94,77.79
31,89.22,80.18,79.91
32,89.89,77.43,77.43
33,90.28,79.23,79.25
34,91.22,81.37,81.16
35,91.43,81.31,80.20
36,92.00,80.62,79.78
37,92.40,80.79,80.17
38,92.63,80.83,80.25
39,92.74,78.97,78.70
40,93.32,81.15,81.13
41,93.63,81.57,81.81
42,93.48,81.15,81.19
43,94.14,80.16,80.20
44,94.22,79.70,79.45
45,94.58,81.85,81.80
46,94.75,81.78,81.70
47,94.66,81.23,80.85
48,95.05,81.51,81.33
49,95.04,81.89,80.96
50,95.31,80.37,80.00
51,95.34,81.46,80.71
52,95.40,81.79,81.38
53,95.80,82.05,81.79
54,96.03,80.82,80.59
55,95.80,77.61,77.45
56,96.01,81.07,81.44
57,95.97,81.46,81.17
58,96.09,81.63,81.36
59,96.37,81.11,80.60
60,96.23,80.76,81.55
61,96.46,82.13,81.99
62,96.52,82.28,81.77
63,96.44,81.71,81.67
64,96.62,82.46,82.16
65,96.78,81.76,82.00
66,96.64,81.89,81.84
67,96.79,79.11,78.64
68,96.91,82.55,81.72
69,96.64,82.60,81.79
70,96.97,81.47,81.39
71,97.12,81.35,81.78
72,96.97,82.34,81.85
73,97.23,79.87,79.57
74,97.04,82.69,82.60
75,97.31,82.02,81.65
76,97.09,81.48,81.52
77,97.23,82.12,82.05
78,97.44,80.27,79.97
79,97.41,82.97,82.54
80,97.33,81.78,81.32
81,97.20,81.75,81.59
82,97.34,82.05,81.67
83,97.53,82.49,82.13
84,97.56,82.31,81.34
85,97.58,81.77,81.13
86,97.52,81.78,81.26
87,97.48,82.97,82.49
88,97.70,81.95,81.64
89,97.52,82.35,81.66
90,97.65,83.09,82.89
91,97.69,82.96,82.29
92,97.55,83.02,82.92
93,97.80,81.78,81.15
94,97.42,83.11,82.35
95,97.74,82.91,82.44
96,97.84,80.91,81.08
97,97.60,81.64,81.44
98,97.84,82.73,82.61
99,97.85,81.53,81.33
100,97.91,81.26,81.08
