,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.8526881720430107,0.005376344086021506,0.05053763440860215,0.005376344086021506,0.008602150537634409,0.0064516129032258064,0.010752688172043012,0.001075268817204301,0.04408602150537634,0.015053763440860216
automobile,0.014084507042253521,0.8892018779342723,0.0,0.004694835680751174,0.0018779342723004694,0.0009389671361502347,0.0028169014084507044,0.0,0.02629107981220657,0.06009389671361502
bird,0.05150214592274678,0.004291845493562232,0.7424892703862661,0.05042918454935622,0.046137339055793994,0.02575107296137339,0.04721030042918455,0.011802575107296138,0.019313304721030045,0.001072961373390558
cat,0.027837259100642397,0.004282655246252677,0.017130620985010708,0.815845824411135,0.014989293361884369,0.059957173447537475,0.04925053533190578,0.0021413276231263384,0.004282655246252677,0.004282655246252677
deer,0.044952681388012616,0.002365930599369085,0.07413249211356467,0.0638801261829653,0.6608832807570978,0.030757097791798107,0.06072555205047318,0.04652996845425868,0.003943217665615142,0.011829652996845425
dog,0.010658307210031349,0.0006269592476489029,0.06833855799373041,0.24200626959247648,0.03510971786833856,0.5429467084639499,0.0652037617554859,0.02821316614420063,0.00438871473354232,0.0025078369905956114
frog,0.003911342894393742,0.0,0.01694915254237288,0.020860495436766623,0.014341590612777053,0.00651890482398957,0.9217731421121251,0.001303780964797914,0.011734028683181226,0.002607561929595828
horse,0.01084010840108401,0.0027100271002710027,0.028003613369467027,0.06142728093947606,0.03071364046973803,0.026196928635953028,0.01987353206865402,0.7949412827461608,0.0036133694670280035,0.02168021680216802
ship,0.035897435897435895,0.008205128205128205,0.005128205128205128,0.0071794871794871795,0.0010256410256410256,0.0,0.0071794871794871795,0.0010256410256410256,0.9056410256410257,0.028717948717948718
truck,0.007829977628635347,0.030201342281879196,0.0011185682326621924,0.0044742729306487695,0.0,0.0022371364653243847,0.003355704697986577,0.0011185682326621924,0.003355704697986577,0.9463087248322147
