,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.559,0.028,0.089,0.017,0.076,0.002,0.031,0.005,0.16,0.033
automobile,0.02,0.719,0.002,0.005,0.008,0.002,0.065,0.003,0.096,0.08
bird,0.069,0.005,0.382,0.05,0.242,0.037,0.126,0.028,0.044,0.017
cat,0.04,0.012,0.096,0.225,0.188,0.079,0.215,0.029,0.082,0.034
deer,0.034,0.007,0.033,0.037,0.657,0.014,0.126,0.05,0.034,0.008
dog,0.017,0.004,0.114,0.171,0.189,0.319,0.086,0.051,0.038,0.011
frog,0.008,0.012,0.034,0.034,0.076,0.006,0.774,0.003,0.038,0.015
horse,0.02,0.006,0.084,0.027,0.17,0.049,0.038,0.542,0.019,0.045
ship,0.075,0.028,0.025,0.014,0.008,0.006,0.022,0.001,0.798,0.023
truck,0.041,0.116,0.01,0.017,0.016,0.005,0.056,0.017,0.09,0.632
