epoch,train_loss,val_loss,test_loss
1,0.51,0.38,0.40
2,0.34,0.32,0.34
3,0.30,0.34,0.37
4,0.27,0.34,0.35
5,0.26,0.29,0.31
6,0.24,0.31,0.33
7,0.22,0.29,0.30
8,0.21,0.28,0.29
9,0.20,0.27,0.29
10,0.19,0.27,0.29
11,0.18,0.27,0.29
12,0.17,0.28,0.31
13,0.16,0.28,0.30
14,0.15,0.29,0.31
15,0.14,0.28,0.31
16,0.13,0.31,0.33
17,0.13,0.29,0.31
18,0.12,0.34,0.35
19,0.11,0.35,0.36
20,0.11,0.34,0.37
21,0.10,0.36,0.39
22,0.10,0.39,0.40
23,0.09,0.37,0.40
24,0.09,0.38,0.40
25,0.08,0.39,0.42
