,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,839,1,19,19,2,2,112,0,5,1
Trouser,0,976,0,17,2,0,3,0,2,0
Pullover,13,0,803,8,62,0,110,0,4,0
Dress,15,4,8,904,30,0,37,0,1,1
Coat,1,1,46,17,853,1,80,0,1,0
Sandal,0,0,0,0,0,969,0,20,0,11
Shirt,91,2,45,17,63,0,770,0,12,0
Sneaker,0,0,0,0,0,10,0,967,0,23
Bag,7,1,2,1,3,4,6,7,969,0
Ankle boot,0,0,0,0,0,3,0,35,1,961
