,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,0.736,0.0,0.014,0.025,0.002,0.0,0.206,0.0,0.017,0.0
Trouser,0.001,0.954,0.001,0.032,0.003,0.0,0.007,0.0,0.002,0.0
Pullover,0.011,0.001,0.74,0.007,0.136,0.0,0.103,0.0,0.002,0.0
Dress,0.039,0.0,0.007,0.875,0.012,0.0,0.06,0.0,0.007,0.0
Coat,0.0,0.001,0.056,0.065,0.808,0.0,0.067,0.0,0.003,0.0
Sandal,0.0,0.0,0.0,0.001,0.0,0.946,0.001,0.019,0.013,0.02
Shirt,0.136,0.001,0.089,0.023,0.148,0.0,0.593,0.0,0.01,0.0
Sneaker,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.946,0.002,0.033
Bag,0.001,0.001,0.001,0.004,0.004,0.0,0.019,0.001,0.969,0.0
Ankle boot,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.031,0.001,0.965
