,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.746,0.009,0.029,0.052,0.017,0.015,0.007,0.025,0.059,0.041
automobile,0.002,0.81,0.001,0.018,0.002,0.007,0.007,0.004,0.009,0.14
bird,0.057,0.001,0.443,0.148,0.071,0.162,0.033,0.053,0.023,0.009
cat,0.016,0.002,0.011,0.619,0.014,0.251,0.018,0.039,0.014,0.016
deer,0.011,0.002,0.032,0.167,0.507,0.11,0.017,0.129,0.021,0.004
dog,0.005,0.0,0.007,0.119,0.011,0.814,0.004,0.03,0.008,0.002
frog,0.009,0.001,0.011,0.192,0.026,0.101,0.632,0.005,0.015,0.008
horse,0.006,0.001,0.009,0.03,0.008,0.103,0.005,0.823,0.003,0.012
ship,0.043,0.011,0.005,0.033,0.002,0.008,0.008,0.003,0.833,0.054
truck,0.011,0.014,0.002,0.024,0.0,0.006,0.004,0.015,0.012,0.912
