epoch,train_loss,val_loss,test_loss
1,1.11,0.53,0.56
2,0.50,0.39,0.39
3,0.41,0.35,0.38
4,0.40,0.32,0.34
5,0.36,0.33,0.33
6,0.34,0.28,0.28
7,0.37,0.26,0.26
8,0.32,0.27,0.27
9,0.32,0.27,0.27
10,0.31,0.25,0.26
