,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.891,0.01,0.025,0.012,0.003,0.0,0.0,0.002,0.043,0.014
automobile,0.018,0.877,0.0,0.013,0.002,0.0,0.0,0.002,0.034,0.054
bird,0.186,0.002,0.552,0.112,0.061,0.046,0.008,0.009,0.018,0.006
cat,0.075,0.008,0.063,0.663,0.029,0.08,0.015,0.02,0.033,0.014
deer,0.122,0.003,0.093,0.155,0.518,0.015,0.011,0.06,0.02,0.003
dog,0.028,0.001,0.045,0.315,0.014,0.553,0.003,0.026,0.007,0.008
frog,0.044,0.014,0.07,0.234,0.059,0.006,0.518,0.001,0.048,0.006
horse,0.049,0.001,0.026,0.12,0.05,0.054,0.001,0.684,0.005,0.01
ship,0.121,0.014,0.003,0.014,0.001,0.0,0.001,0.002,0.829,0.015
truck,0.047,0.089,0.001,0.017,0.0,0.001,0.001,0.006,0.032,0.806
