,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.7326892109500805,0.007246376811594203,0.071658615136876,0.029790660225442835,0.02576489533011272,0.012077294685990338,0.016908212560386472,0.020933977455716585,0.05636070853462158,0.026570048309178744
automobile,0.003898635477582846,0.8957115009746589,0.0009746588693957114,0.0029239766081871343,0.0029239766081871343,0.0009746588693957114,0.011695906432748537,0.001949317738791423,0.011695906432748537,0.06725146198830409
bird,0.01452513966480447,0.0033519553072625698,0.7631284916201118,0.048044692737430165,0.060335195530726256,0.03240223463687151,0.034636871508379886,0.035754189944134075,0.004469273743016759,0.0033519553072625698
cat,0.013986013986013986,0.006993006993006993,0.056643356643356645,0.5433566433566434,0.05804195804195804,0.15734265734265734,0.07132867132867132,0.07412587412587412,0.01048951048951049,0.007692307692307693
deer,0.010679611650485437,0.000970873786407767,0.06504854368932039,0.036893203883495145,0.7533980582524272,0.021359223300970873,0.04466019417475728,0.06601941747572816,0.0,0.000970873786407767
dog,0.002,0.001,0.045,0.071,0.031,0.697,0.019,0.129,0.001,0.004
frog,0.0012706480304955528,0.0012706480304955528,0.016518424396442185,0.016518424396442185,0.0063532401524777635,0.0038119440914866584,0.9453621346886912,0.005082592121982211,0.0038119440914866584,0.0
horse,0.0015772870662460567,0.0,0.006309148264984227,0.0015772870662460567,0.014195583596214511,0.0031545741324921135,0.0,0.9700315457413249,0.0,0.0031545741324921135
ship,0.029411764705882353,0.012745098039215686,0.010784313725490196,0.012745098039215686,0.0058823529411764705,0.00392156862745098,0.01764705882352941,0.011764705882352941,0.8676470588235294,0.027450980392156862
truck,0.008547008547008548,0.045940170940170943,0.00641025641025641,0.004273504273504274,0.0010683760683760685,0.002136752136752137,0.007478632478632479,0.00641025641025641,0.010683760683760684,0.907051282051282
