,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,0.81,0.001,0.021,0.034,0.0,0.0,0.128,0.0,0.006,0.0
Trouser,0.0,0.981,0.0,0.016,0.0,0.0,0.001,0.0,0.002,0.0
Pullover,0.01,0.001,0.879,0.012,0.061,0.0,0.037,0.0,0.0,0.0
Dress,0.003,0.0,0.006,0.954,0.016,0.0,0.021,0.0,0.0,0.0
Coat,0.0,0.0,0.022,0.033,0.91,0.0,0.035,0.0,0.0,0.0
Sandal,0.0,0.0,0.0,0.0,0.0,0.978,0.0,0.018,0.0,0.004
Shirt,0.077,0.001,0.07,0.039,0.097,0.0,0.712,0.0,0.004,0.0
Sneaker,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.992,0.0,0.004
Bag,0.0,0.0,0.0,0.003,0.004,0.003,0.007,0.004,0.979,0.0
Ankle boot,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.074,0.0,0.919
