,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.761,0.006,0.035,0.017,0.038,0.007,0.005,0.01,0.094,0.027
automobile,0.011,0.8,0.005,0.022,0.007,0.002,0.011,0.0,0.063,0.079
bird,0.09,0.004,0.54,0.07,0.154,0.066,0.028,0.024,0.021,0.003
cat,0.028,0.005,0.056,0.561,0.091,0.176,0.036,0.02,0.016,0.011
deer,0.016,0.003,0.029,0.069,0.774,0.045,0.018,0.034,0.01,0.002
dog,0.008,0.004,0.047,0.137,0.056,0.675,0.012,0.041,0.013,0.007
frog,0.015,0.002,0.037,0.07,0.047,0.039,0.76,0.006,0.019,0.005
horse,0.01,0.003,0.023,0.03,0.075,0.061,0.004,0.778,0.006,0.01
ship,0.042,0.013,0.009,0.013,0.017,0.01,0.004,0.006,0.872,0.014
truck,0.02,0.044,0.01,0.036,0.013,0.011,0.007,0.021,0.039,0.799
