,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.747,0.013,0.063,0.018,0.02,0.006,0.008,0.014,0.073,0.038
automobile,0.005,0.884,0.004,0.01,0.003,0.003,0.004,0.002,0.019,0.066
bird,0.051,0.005,0.619,0.08,0.072,0.077,0.03,0.032,0.026,0.008
cat,0.024,0.009,0.054,0.579,0.046,0.149,0.045,0.037,0.027,0.03
deer,0.016,0.005,0.058,0.065,0.672,0.055,0.027,0.078,0.017,0.007
dog,0.007,0.005,0.032,0.145,0.026,0.685,0.023,0.044,0.015,0.018
frog,0.008,0.012,0.044,0.084,0.024,0.027,0.755,0.005,0.021,0.02
horse,0.009,0.003,0.017,0.038,0.025,0.05,0.004,0.826,0.01,0.018
ship,0.034,0.035,0.006,0.011,0.007,0.004,0.005,0.007,0.866,0.025
truck,0.007,0.056,0.001,0.015,0.007,0.007,0.001,0.014,0.024,0.868
