epoch,train_acc,val_acc,test_acc
1,83.03,88.80,88.44
2,88.90,90.28,90.00
3,90.38,91.04,90.57
4,91.41,91.80,91.30
5,91.99,91.52,91.16
6,92.49,92.50,91.91
7,92.97,90.52,90.19
8,93.36,92.82,92.30
9,93.72,92.04,92.14
10,94.13,92.17,91.70
