epoch,train_loss,val_loss,test_loss
1,0.46,0.31,0.32
2,0.30,0.27,0.28
3,0.26,0.24,0.26
4,0.23,0.23,0.24
5,0.22,0.23,0.24
6,0.20,0.20,0.22
7,0.19,0.25,0.26
8,0.18,0.21,0.22
9,0.17,0.22,0.23
10,0.16,0.22,0.24
