train_acc,val_acc,test_acc
49.46,51.92,52.86
62.53,63.49,63.61
68.12,67.44,67.63
72.42,64.25,64.24
75.38,64.03,63.95
78.09,71.14,71.23
80.64,69.36,69.06
82.74,70.46,70.07
85.18,70.46,70.76
87.11,71.39,70.93
