,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.656,0.021,0.128,0.015,0.04,0.019,0.017,0.01,0.044,0.05
automobile,0.024,0.723,0.01,0.011,0.012,0.013,0.034,0.002,0.029,0.142
bird,0.085,0.005,0.542,0.044,0.091,0.118,0.055,0.03,0.01,0.02
cat,0.043,0.011,0.138,0.299,0.101,0.223,0.091,0.055,0.015,0.024
deer,0.03,0.003,0.169,0.052,0.543,0.068,0.05,0.072,0.007,0.006
dog,0.029,0.004,0.12,0.106,0.055,0.573,0.035,0.056,0.006,0.016
frog,0.032,0.007,0.078,0.082,0.052,0.041,0.676,0.012,0.009,0.011
horse,0.021,0.005,0.072,0.03,0.096,0.103,0.008,0.625,0.007,0.033
ship,0.147,0.044,0.04,0.018,0.008,0.015,0.016,0.003,0.624,0.085
truck,0.031,0.067,0.018,0.01,0.019,0.015,0.007,0.017,0.026,0.79
