train_acc,val_acc,test_acc
49.00,44.20,45.55
62.46,44.06,44.04
68.00,65.87,66.44
72.39,67.88,68.52
75.41,57.93,58.29
78.17,68.06,68.70
80.63,68.85,68.88
83.19,68.88,68.83
85.77,70.54,71.16
87.56,69.83,70.60
