train_loss,val_loss,test_loss
867.96,259.47,260.23
654.27,281.06,283.53
562.15,152.72,151.42
487.97,143.57,141.90
433.23,208.03,205.37
383.12,154.96,150.93
337.72,152.59,151.10
293.52,160.95,156.47
250.42,156.83,154.05
216.33,166.47,163.28
