,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.463,0.0,0.0,0.0,0.0,0.0,0.001,0.434,0.098,0.004
automobile,0.245,0.006,0.0,0.0,0.0,0.0,0.0,0.084,0.495,0.17
bird,0.092,0.0,0.0,0.0,0.0,0.0,0.001,0.903,0.004,0.0
cat,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.897,0.007,0.0
deer,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0
dog,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.963,0.002,0.0
frog,0.091,0.0,0.0,0.0,0.0,0.0,0.001,0.896,0.012,0.0
horse,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.003,0.0
ship,0.578,0.0,0.0,0.0,0.0,0.0,0.001,0.153,0.268,0.0
truck,0.315,0.001,0.0,0.0,0.0,0.0,0.001,0.123,0.464,0.096
