,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.613,0.023,0.112,0.027,0.062,0.015,0.017,0.028,0.075,0.028
automobile,0.034,0.695,0.009,0.033,0.006,0.012,0.036,0.006,0.047,0.122
bird,0.063,0.005,0.489,0.094,0.127,0.092,0.054,0.041,0.023,0.012
cat,0.034,0.007,0.1,0.419,0.093,0.178,0.081,0.046,0.021,0.021
deer,0.022,0.002,0.093,0.091,0.59,0.047,0.056,0.073,0.019,0.007
dog,0.02,0.002,0.079,0.179,0.056,0.557,0.026,0.062,0.009,0.01
frog,0.022,0.005,0.053,0.1,0.04,0.044,0.699,0.011,0.015,0.011
horse,0.021,0.003,0.046,0.065,0.072,0.095,0.01,0.661,0.005,0.022
ship,0.085,0.035,0.025,0.03,0.012,0.009,0.01,0.005,0.752,0.037
truck,0.037,0.063,0.015,0.041,0.006,0.012,0.012,0.033,0.042,0.739
