,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.562198649951784,0.03182256509161042,0.09836065573770492,0.052073288331726135,0.04532304725168756,0.02700096432015429,0.03278688524590164,0.021215043394406944,0.10414657666345227,0.02507232401157184
automobile,0.033402922755741124,0.7160751565762005,0.016701461377870562,0.029227557411273485,0.024008350730688934,0.018789144050104383,0.04697286012526096,0.018789144050104383,0.05010438413361169,0.04592901878914405
bird,0.07938931297709924,0.0030534351145038168,0.500763358778626,0.10687022900763359,0.06564885496183206,0.11755725190839694,0.05801526717557252,0.05343511450381679,0.013740458015267175,0.0015267175572519084
cat,0.025252525252525252,0.003367003367003367,0.08922558922558922,0.39730639730639733,0.04713804713804714,0.24915824915824916,0.1111111111111111,0.05218855218855219,0.015151515151515152,0.010101010101010102
deer,0.054281345565749234,0.0030581039755351682,0.14143730886850153,0.1162079510703364,0.4380733944954128,0.08868501529051988,0.08868501529051988,0.06345565749235474,0.0030581039755351682,0.0030581039755351682
dog,0.003484320557491289,0.003484320557491289,0.08710801393728224,0.1289198606271777,0.013937282229965157,0.7177700348432056,0.003484320557491289,0.041811846689895474,0.0,0.0
frog,0.014705882352941176,0.0,0.052521008403361345,0.05042016806722689,0.018907563025210083,0.0273109243697479,0.8214285714285714,0.008403361344537815,0.0063025210084033615,0.0
horse,0.01040582726326743,0.002081165452653486,0.043704474505723206,0.05827263267429761,0.09365244536940687,0.1259105098855359,0.015608740894901144,0.6430801248699272,0.003121748178980229,0.004162330905306972
ship,0.09553158705701079,0.01848998459167951,0.08628659476117104,0.07473035439137134,0.05701078582434515,0.061633281972265024,0.05624036979969183,0.023112480739599383,0.5046224961479199,0.02234206471494607
truck,0.043281121187139324,0.10140148392415499,0.046166529266281946,0.10140148392415499,0.04492992580379225,0.07955482275350372,0.09109645507007419,0.060593569661995056,0.0663643858202803,0.36521022258862323
