train_loss,val_loss,test_loss
1732.79,435.97,438.11
1306.71,326.02,324.73
1123.33,287.73,284.46
973.99,326.22,325.07
870.94,335.64,335.12
772.99,273.37,272.42
681.08,301.78,306.50
601.52,290.41,293.20
517.62,310.18,305.05
449.09,313.94,311.89
