,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,0.899,0.0,0.019,0.021,0.003,0.001,0.047,0.0,0.01,0.0
Trouser,0.002,0.979,0.0,0.013,0.001,0.0,0.004,0.0,0.001,0.0
Pullover,0.013,0.001,0.875,0.006,0.058,0.0,0.041,0.0,0.006,0.0
Dress,0.019,0.016,0.007,0.892,0.041,0.0,0.021,0.0,0.004,0.0
Coat,0.001,0.001,0.092,0.025,0.826,0.0,0.05,0.0,0.005,0.0
Sandal,0.001,0.0,0.0,0.0,0.0,0.953,0.0,0.021,0.001,0.024
Shirt,0.194,0.005,0.089,0.026,0.081,0.0,0.588,0.0,0.017,0.0
Sneaker,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.966,0.001,0.008
Bag,0.0,0.001,0.005,0.005,0.005,0.002,0.001,0.002,0.979,0.0
Ankle boot,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.048,0.001,0.949
