train_acc,val_acc,test_acc
83.07,86.86,86.31
87.85,88.07,87.58
89.13,88.38,88.20
90.22,88.14,87.75
90.79,89.44,89.07
91.35,89.65,88.98
91.87,89.16,89.03
92.29,89.58,89.21
92.45,89.75,89.81
93.04,90.20,89.48
