train_loss,val_loss,test_loss
2736.78,542.41,473.56
1971.02,474.80,420.16
1746.33,478.67,419.10
1584.49,490.52,430.04
1483.31,422.82,379.46
1376.18,437.96,389.27
1312.36,453.16,397.97
1236.83,431.26,381.34
1183.48,444.96,394.15
1104.55,447.45,392.16
