epoch,train_acc,val_acc,test_acc
1,49.30,52.19,52.52
2,62.37,60.86,60.78
3,68.42,66.92,67.07
4,72.83,66.38,66.60
5,75.47,68.28,68.18
6,78.03,69.24,69.51
7,80.58,70.44,69.91
8,82.85,68.50,68.69
9,84.99,71.24,71.38
10,86.57,68.48,67.63
11,88.40,68.30,68.49
12,89.76,70.37,71.24
13,91.13,69.52,70.02
14,92.28,70.59,70.84
15,93.16,71.28,70.92
16,93.98,69.75,69.72
17,94.51,69.65,69.71
18,94.86,70.08,69.64
19,95.18,69.35,69.47
20,95.63,69.88,69.50
21,95.87,70.21,70.49
22,96.32,69.43,70.32
23,96.43,69.84,70.13
24,96.33,69.83,69.82
25,96.78,69.87,70.32
