,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.75,0.024,0.082,0.02,0.025,0.001,0.007,0.01,0.063,0.018
automobile,0.015,0.89,0.011,0.014,0.01,0.001,0.008,0.002,0.015,0.034
bird,0.051,0.005,0.633,0.061,0.102,0.036,0.05,0.041,0.013,0.008
cat,0.024,0.018,0.095,0.571,0.081,0.078,0.059,0.046,0.021,0.007
deer,0.021,0.008,0.066,0.072,0.709,0.015,0.042,0.056,0.01,0.001
dog,0.021,0.006,0.09,0.286,0.055,0.425,0.031,0.07,0.011,0.005
frog,0.015,0.009,0.064,0.069,0.029,0.011,0.788,0.006,0.006,0.003
horse,0.025,0.011,0.048,0.04,0.077,0.027,0.007,0.759,0.0,0.006
ship,0.086,0.056,0.028,0.015,0.01,0.0,0.005,0.004,0.775,0.021
truck,0.064,0.151,0.012,0.028,0.006,0.004,0.002,0.024,0.018,0.691
