,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,808,11,43,6,4,3,19,7,54,45
automobile,5,884,3,1,0,1,12,0,12,82
bird,58,0,766,10,16,38,81,14,12,5
cat,12,0,81,570,33,92,159,29,14,10
deer,19,2,118,18,608,13,172,45,4,1
dog,6,3,54,117,30,681,65,38,4,2
frog,5,2,26,17,2,3,941,2,2,0
horse,5,3,47,20,36,26,21,827,3,12
ship,32,16,12,4,1,0,15,2,904,14
truck,4,39,5,8,1,3,14,5,28,893
