epoch,train_acc,val_acc,test_acc
1,44.43,57.28,57.42
2,60.28,61.70,62.02
3,67.08,68.78,68.91
4,71.86,70.89,71.01
5,74.38,74.01,73.50
6,77.37,76.70,76.80
7,79.27,78.34,78.91
8,81.09,78.23,78.63
9,82.34,80.61,80.37
10,83.87,78.21,78.82
