epoch,train_loss,val_loss,test_loss
1,1.53,1.21,1.21
2,1.12,1.10,1.07
3,0.94,0.90,0.90
4,0.81,0.85,0.85
5,0.73,0.76,0.76
6,0.65,0.68,0.68
7,0.60,0.66,0.65
8,0.55,0.64,0.63
9,0.51,0.58,0.59
10,0.46,0.64,0.63
