epoch,train_acc,val_acc,test_acc
1,49.16,49.06,49.04
2,61.80,58.35,58.15
3,67.90,67.66,67.83
4,72.59,61.29,61.29
5,75.19,70.25,70.23
6,78.00,70.24,70.79
7,80.55,69.98,69.73
8,82.80,67.68,67.54
9,84.94,70.01,70.21
10,86.89,67.82,68.77
11,88.56,71.07,71.71
12,90.13,68.37,68.57
13,91.09,71.27,71.59
14,92.31,71.19,71.62
15,93.24,70.97,71.50
16,93.77,70.81,70.65
17,94.43,70.76,70.31
18,95.00,68.71,69.73
19,95.33,68.04,67.82
20,95.79,69.60,70.10
21,95.97,68.60,69.68
22,96.28,69.63,70.46
23,96.44,69.77,70.43
24,96.44,69.72,68.90
25,96.88,69.81,70.34
