epoch,train_acc,val_acc,test_acc
1,58.40,69.40,69.44
2,69.10,78.26,78.22
3,73.14,81.77,81.11
4,77.97,81.12,80.20
5,81.35,85.50,85.20
6,84.22,84.22,83.62
7,86.07,86.83,86.64
8,87.82,88.17,87.84
9,88.96,89.98,90.30
10,89.87,90.52,90.67
11,90.78,89.91,89.51
12,91.11,90.67,90.22
13,91.41,91.70,91.08
14,92.41,92.19,91.98
15,92.66,90.99,90.99
16,93.13,92.69,91.76
17,93.40,92.38,92.31
18,93.92,92.91,92.43
19,94.34,92.90,92.26
20,94.72,92.81,92.14
21,94.88,93.20,92.65
22,95.38,93.38,92.72
23,95.49,93.23,92.99
24,95.88,92.94,92.92
25,96.15,93.10,92.91
