,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.514,0.018,0.112,0.026,0.058,0.016,0.008,0.035,0.146,0.067
automobile,0.011,0.73,0.004,0.016,0.009,0.007,0.011,0.013,0.058,0.141
bird,0.068,0.015,0.446,0.076,0.132,0.079,0.037,0.102,0.027,0.018
cat,0.023,0.017,0.076,0.349,0.101,0.197,0.044,0.113,0.035,0.045
deer,0.016,0.012,0.071,0.063,0.583,0.043,0.023,0.158,0.021,0.01
dog,0.009,0.004,0.056,0.131,0.067,0.546,0.021,0.129,0.016,0.021
frog,0.015,0.019,0.048,0.092,0.092,0.037,0.613,0.029,0.028,0.027
horse,0.012,0.005,0.029,0.05,0.049,0.044,0.004,0.776,0.008,0.023
ship,0.051,0.041,0.019,0.019,0.009,0.012,0.011,0.007,0.79,0.041
truck,0.018,0.068,0.01,0.018,0.005,0.008,0.004,0.041,0.057,0.771
