,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,,,,,,,,,,
Trouser,,,,,,,,,,
Pullover,,,,,,,,,,
Dress,,,,,,,,,,
Coat,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sandal,,,,,,,,,,
Shirt,,,,,,,,,,
Sneaker,,,,,,,,,,
Bag,,,,,,,,,,
Ankle boot,,,,,,,,,,
