,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.5421940928270043,0.05485232067510549,0.09423347398030943,0.046413502109704644,0.03234880450070324,0.0189873417721519,0.01617440225035162,0.047116736990154715,0.07946554149085795,0.06821378340365682
automobile,0.003694581280788177,0.9027093596059114,0.0,0.0,0.0,0.0,0.0,0.0,0.0024630541871921183,0.09113300492610837
bird,0.08472686733556299,0.0,0.4816053511705686,0.08361204013377926,0.11036789297658862,0.12151616499442586,0.03901895206243032,0.054626532887402456,0.021181716833890748,0.0033444816053511705
cat,0.015184381778741865,0.015184381778741865,0.09761388286334056,0.3752711496746204,0.04121475054229935,0.2646420824295011,0.026030368763557483,0.08026030368763558,0.026030368763557483,0.05856832971800434
deer,0.015977443609022556,0.0,0.1099624060150376,0.09022556390977443,0.49718045112781956,0.09586466165413533,0.015977443609022556,0.15789473684210525,0.012218045112781954,0.004699248120300752
dog,0.00145985401459854,0.0,0.06861313868613139,0.18248175182481752,0.035036496350364967,0.5854014598540146,0.004379562043795621,0.11824817518248175,0.00291970802919708,0.00145985401459854
frog,0.017145505097312327,0.032900834105653386,0.09360518999073215,0.18952734012974976,0.10889712696941613,0.082483781278962,0.41473586654309547,0.025023169601482854,0.010194624652455977,0.025486561631139944
horse,0.007680491551459293,0.0015360983102918587,0.013824884792626729,0.03379416282642089,0.05222734254992319,0.0629800307219662,0.0015360983102918587,0.8079877112135176,0.0015360983102918587,0.016897081413210446
ship,0.06944444444444445,0.06111111111111111,0.010185185185185186,0.026851851851851852,0.012962962962962963,0.016666666666666666,0.011111111111111112,0.004629629629629629,0.7509259259259259,0.03611111111111111
truck,0.01038961038961039,0.05714285714285714,0.003896103896103896,0.006493506493506494,0.0,0.0025974025974025974,0.0025974025974025974,0.016883116883116882,0.006493506493506494,0.8935064935064935
