train_acc,val_acc,test_acc
14.82,17.49,18.11
16.89,18.48,18.46
17.08,17.76,17.49
17.58,16.74,17.38
17.60,18.94,18.66
17.37,18.03,18.18
17.58,18.33,18.98
17.45,18.63,18.31
18.01,20.97,21.00
18.18,18.23,18.33
