epoch,train_loss,val_loss,test_loss
1,1.02,0.57,0.59
2,0.63,0.53,0.54
3,0.54,0.54,0.54
4,0.46,0.43,0.44
5,0.41,0.39,0.41
6,0.37,0.47,0.48
7,0.35,0.38,0.39
8,0.32,0.34,0.34
9,0.30,0.40,0.40
10,0.28,0.30,0.30
11,0.26,0.31,0.32
12,0.25,0.33,0.34
13,0.23,0.28,0.28
14,0.22,0.25,0.25
15,0.21,0.25,0.25
16,0.20,0.25,0.26
17,0.18,0.25,0.25
18,0.18,0.24,0.25
19,0.18,0.23,0.24
20,0.16,0.23,0.24
21,0.15,0.22,0.23
22,0.15,0.24,0.25
23,0.15,0.20,0.22
24,0.13,0.25,0.25
25,0.13,0.21,0.22
