epoch,train_acc,val_acc,test_acc
1,65.66,81.27,80.30
2,76.89,84.10,83.22
3,80.25,84.33,83.36
4,83.10,86.52,85.90
5,85.08,87.37,86.62
6,86.73,85.88,84.90
7,87.66,89.13,88.58
8,88.70,88.52,88.30
9,89.41,87.40,87.13
10,90.06,90.92,90.35
11,90.60,91.11,90.71
12,91.35,88.71,88.34
13,91.74,91.26,91.25
14,92.15,92.46,91.92
15,92.62,92.06,91.53
16,92.82,91.76,91.83
17,93.56,91.41,91.64
18,93.75,91.83,90.99
19,93.77,92.43,92.13
20,94.34,92.41,92.21
21,94.48,92.68,92.15
22,94.61,91.20,91.39
23,94.82,93.38,93.07
24,95.32,92.10,91.77
25,95.40,92.91,92.52
