,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.7112211221122112,0.004125412541254125,0.08828382838283828,0.038778877887788776,0.040429042904290426,0.013201320132013201,0.017326732673267328,0.015676567656765675,0.05693069306930693,0.014026402640264026
automobile,0.011111111111111112,0.8601851851851852,0.002777777777777778,0.007407407407407408,0.002777777777777778,0.002777777777777778,0.007407407407407408,0.001851851851851852,0.018518518518518517,0.08518518518518518
bird,0.03218390804597701,0.0011494252873563218,0.7137931034482758,0.06436781609195402,0.06896551724137931,0.05517241379310345,0.035632183908045977,0.020689655172413793,0.008045977011494253,0.0
cat,0.011244979919678716,0.004819277108433735,0.06506024096385542,0.5381526104417671,0.08835341365461848,0.1742971887550201,0.06506024096385542,0.02971887550200803,0.010441767068273093,0.01285140562248996
deer,0.017994858611825194,0.0,0.06812339331619537,0.037275064267352186,0.8084832904884319,0.02956298200514139,0.019280205655526992,0.019280205655526992,0.0,0.0
dog,0.0,0.0026490066225165563,0.038410596026490065,0.08344370860927153,0.03443708609271523,0.8039735099337748,0.011920529801324504,0.025165562913907286,0.0,0.0
frog,0.004250797024442083,0.003188097768331562,0.044633368756641874,0.04357066950053135,0.039319872476089264,0.01381509032943677,0.8416578108395324,0.0021253985122210413,0.005313496280552604,0.0021253985122210413
horse,0.006956521739130435,0.0026086956521739132,0.0408695652173913,0.05391304347826087,0.06086956521739131,0.04869565217391304,0.010434782608695653,0.76,0.0034782608695652175,0.01217391304347826
ship,0.037717601547388784,0.01644100580270793,0.014506769825918761,0.014506769825918761,0.012572533849129593,0.013539651837524178,0.024177949709864602,0.004835589941972921,0.8384912959381045,0.02321083172147002
truck,0.020320855614973262,0.03636363636363636,0.0021390374331550803,0.009625668449197862,0.0032085561497326204,0.0032085561497326204,0.006417112299465241,0.009625668449197862,0.016042780748663103,0.893048128342246
