epoch,train_acc,val_acc,test_acc
1,15.18,17.94,18.23
2,16.68,18.91,19.69
3,17.20,14.70,14.99
4,17.20,19.89,20.89
5,17.88,24.42,24.69
6,19.14,14.78,15.09
7,19.57,22.74,22.64
8,19.61,18.50,18.86
9,20.80,25.70,26.37
10,21.27,19.56,19.56
11,22.03,25.42,26.04
12,22.34,20.90,20.24
13,22.49,25.99,25.60
14,23.10,22.10,22.47
15,23.92,29.06,28.68
16,24.75,25.35,25.08
17,22.17,20.26,19.98
18,24.63,27.88,27.73
19,25.76,28.80,29.19
20,25.93,20.66,20.02
21,25.55,25.45,25.18
22,25.41,28.18,28.26
23,26.30,25.98,26.16
24,27.05,23.44,24.01
25,26.34,27.31,26.40
