,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,0.903,0.0,0.013,0.007,0.001,0.001,0.073,0.0,0.002,0.0
Trouser,0.001,0.981,0.0,0.011,0.002,0.0,0.004,0.0,0.001,0.0
Pullover,0.013,0.001,0.879,0.008,0.05,0.0,0.049,0.0,0.0,0.0
Dress,0.033,0.003,0.013,0.907,0.01,0.0,0.033,0.0,0.001,0.0
Coat,0.0,0.0,0.057,0.052,0.834,0.0,0.057,0.0,0.0,0.0
Sandal,0.0,0.0,0.0,0.0,0.0,0.977,0.0,0.017,0.0,0.006
Shirt,0.133,0.002,0.064,0.015,0.077,0.0,0.707,0.0,0.002,0.0
Sneaker,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.993,0.0,0.006
Bag,0.003,0.0,0.004,0.005,0.002,0.002,0.01,0.003,0.97,0.001
Ankle boot,0.0,0.0,0.001,0.0,0.0,0.004,0.0,0.062,0.0,0.933
