,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,0.904,0.0,0.015,0.014,0.0,0.0,0.064,0.0,0.003,0.0
Trouser,0.002,0.987,0.001,0.007,0.0,0.0,0.003,0.0,0.0,0.0
Pullover,0.013,0.001,0.899,0.009,0.018,0.0,0.06,0.0,0.0,0.0
Dress,0.012,0.004,0.007,0.95,0.01,0.0,0.016,0.0,0.001,0.0
Coat,0.002,0.0,0.055,0.025,0.85,0.0,0.068,0.0,0.0,0.0
Sandal,0.0,0.0,0.0,0.001,0.0,0.984,0.0,0.012,0.0,0.003
Shirt,0.106,0.002,0.043,0.024,0.035,0.0,0.787,0.0,0.003,0.0
Sneaker,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.986,0.0,0.01
Bag,0.001,0.0,0.0,0.003,0.0,0.001,0.006,0.001,0.988,0.0
Ankle boot,0.001,0.0,0.0,0.0,0.0,0.002,0.0,0.044,0.0,0.953
