epoch,train_acc,val_acc,test_acc
1,69.34,80.89,79.87
2,78.56,84.59,83.24
3,82.17,86.38,85.93
4,84.45,86.75,86.36
5,85.86,84.61,83.88
6,87.07,88.28,87.87
7,88.18,89.44,88.98
8,89.08,89.95,89.73
9,89.75,90.12,90.00
10,90.36,90.56,90.41
11,90.92,90.45,89.65
12,91.37,90.52,90.09
13,92.03,91.84,91.49
14,92.11,92.43,92.07
15,92.53,89.41,89.11
16,93.14,89.59,89.70
17,93.18,92.26,91.85
18,93.52,92.67,92.44
19,93.84,92.07,91.86
20,94.20,92.42,92.54
21,94.27,92.53,92.74
22,94.44,92.24,92.04
23,94.91,93.00,92.88
24,95.17,93.39,93.14
25,95.30,93.30,93.02
